odd_home,odd_away,score_home,score_away
45.87,57.78,95,123
85.73,16.94,110,119
62.77,40.87,119,113
63.66,39.80,103,104
44.85,59.07,124,116
21.49,85.78,105,109
84.94,17.56,126,124
80.25,23.41,143,100
47.29,56.43,101,103
22.46,81.26,108,124
94.57,7.83,109,117
65.34,37.10,127,109
64.63,38.91,121,120
59.31,46.45,92,104
34.54,69.62,114,118
24.31,79.62,91,93
46.49,56.10,125,118
34.86,69.84,117,113
61.28,44.45,98,88
74.82,29.03,104,98
75.06,31.96,140,126
35.63,70.57,119,127
37.25,66.64,117,112
78.40,24.24,113,102
35.99,67.63,121,94
83.92,19.68,119,114
63.33,39.13,104,92
44.87,58.93,97,113
62.67,42.10,131,117
51.32,54.67,109,119
71.17,31.33,87,100
41.98,61.68,100,110
51.91,51.97,112,109
15.14,88.56,83,122
91.98,9.18,132,112
64.29,41.78,86,98
64.21,39.43,119,122
82.54,18.83,97,89
49.24,54.51,125,115
44.17,61.63,130,117
43.77,60.04,119,127
95.77,5.48,123,104
72.98,32.98,112,104
58.43,45.52,112,96
91.76,13.02,129,124
57.57,46.11,123,116
71.01,32.63,99,91
58.87,47.16,113,107
68.97,35.82,104,115
77.64,26.45,116,111
96.56,7.06,138,93
68.20,35.34,107,86
56.54,47.35,126,117
29.14,74.87,116,96
31.11,72.62,118,68
85.61,21.71,113,116
47.78,58.59,107,100
79.07,28.24,128,103
95.61,6.76,111,82
44.01,60.88,107,120
82.45,21.20,104,106
37.76,68.57,111,106
89.00,15.53,119,95
85.49,19.48,110,103
66.63,37.27,99,109
17.52,86.29,113,89
38.54,65.23,121,116
50.64,53.01,104,99
40.70,62.94,98,103
34.88,68.69,88,96
63.79,38.48,120,113
73.35,30.15,118,101
61.64,40.80,114,124
89.58,13.97,110,126
77.63,27.17,117,109
89.89,16.59,107,106
51.14,52.53,100,94
67.20,36.32,114,121
66.49,37.07,89,115
53.79,48.63,115,103
58.22,48.73,103,113
34.99,71.04,86,101
59.76,44.20,111,96
80.38,22.06,116,100
37.52,66.10,96,89
62.28,40.56,99,98
70.80,33.01,112,106
66.26,36.28,110,116
77.65,25.05,119,99
33.70,70.12,128,126
98.41,5.08,128,112
51.73,52.00,121,110
75.04,28.54,123,115
76.44,26.26,110,112
41.72,62.15,102,110
30.47,72.28,109,124
35.79,67.90,117,108
74.45,29.39,133,132
70.32,32.19,111,134
64.47,38.04,116,105
17.47,86.51,109,116
31.56,71.31,98,80
74.56,30.43,114,110
17.59,86.49,105,114
85.89,20.44,117,102
60.18,43.64,94,100
38.66,66.31,89,87
92.81,11.05,107,98
46.22,57.74,107,112
